"Row,Prediction"
"184,9"
"185,1"
"186,9"
"187,4"
"188,9"
"189,3"
"190,1"
"191,9"
"192,1"
"193,2"
"194,9"
"195,7"
"196,9"
"197,1"
"198,9"
"199,9"
"200,9"
"201,0"
"202,9"
"203,0"
"204,9"
"205,3"
"206,8"
"207,8"
"208,5"
"209,4"
"210,4"
"211,4"
"212,0"
"213,0"
"214,9"
"215,0"
"216,8"
"217,1"
"218,1"
"219,9"
"220,8"
"221,1"
"222,9"
"223,5"
"224,6"
"225,3"
"226,0"
"227,5"
"228,4"
"229,1"
"230,9"
"231,1"
"232,9"
"233,9"
"234,1"
"235,2"
"236,5"
"237,9"
"238,2"
"239,1"
"240,2"
"241,0"
"242,9"
"243,9"
"244,1"
"245,1"
"246,5"
"247,4"
"248,9"
"249,8"
"250,9"
"251,1"
"252,1"
"253,1"
"254,5"
"255,0"
"256,9"
"257,5"
"258,1"
"259,1"
"260,4"
"261,1"
"262,1"
"263,1"
"264,9"
"265,4"
"266,9"
"267,2"
"268,7"
"269,4"
"270,5"
"271,4"
"272,9"
"273,1"
"274,7"
"275,0"
"276,5"
"277,0"
"278,9"
"279,9"
"280,0"
"281,1"
"282,4"
"283,6"
"284,3"
"285,9"
"286,0"
"287,1"
"288,5"
"289,1"
"290,3"
"291,9"
"292,8"
"293,8"
"294,1"
"295,9"
"296,1"
"297,0"
"298,8"
"299,9"
"300,0"
"301,5"
"302,9"
"303,5"
"304,1"
"305,1"
"306,1"
"307,7"
"308,8"
"309,1"
"310,6"
"311,9"
"312,1"
"313,4"
"314,1"
"315,8"
"316,5"
"317,9"
"318,9"
"319,7"
"320,9"
"321,0"
"322,9"
"323,9"
"324,9"
"325,9"
"326,5"
"327,0"
"328,1"
"329,5"
"330,5"
"331,1"
"332,4"
"333,4"
"334,1"
"335,9"
"336,7"
"337,1"
"338,9"
"339,4"
"340,8"
"341,0"
"342,5"
"343,8"
"344,0"
"345,4"
"346,4"
"347,9"
"348,9"
"349,9"
"350,3"
"351,1"
"352,1"
"353,8"
"354,1"
"355,9"
"356,9"
"357,1"
"358,5"
"359,3"
"360,3"
"361,2"
"362,2"
"363,5"
"364,9"
"365,9"
"366,0"
"367,1"
"368,1"
"369,3"
"370,9"
"371,5"
"372,1"
"373,5"
"374,1"
"375,9"
"376,1"
"377,9"
"378,8"
"379,9"
"380,1"
"381,9"
"382,1"
"383,1"
"384,1"
"385,9"
"386,4"
"387,4"
"388,9"
"389,9"
"390,4"
"391,9"
"392,0"
"393,1"
"394,9"
"395,1"
"396,2"
"397,8"
"398,5"
"399,1"
"400,1"
"401,9"
"402,1"
"403,9"
"404,8"
"405,1"
"406,8"
"407,9"
"408,8"
"409,9"
"410,5"
"411,6"
"412,1"
"413,0"
"414,1"
"415,1"
"416,9"
"417,1"
"418,4"
"419,9"
"420,4"
"421,9"
"422,3"
"423,9"
"424,8"
"425,0"
"426,9"
"427,5"
"428,1"
"429,8"
"430,5"
"431,9"
"432,1"
"433,9"
"434,9"
"435,1"
"436,1"
"437,9"
"438,4"
"439,5"
"440,1"
"441,0"
"442,0"
"443,1"
"444,0"
"445,9"
"446,8"
"447,8"
"448,0"
"449,9"
"450,9"
"451,9"
"452,1"
"453,9"
"454,8"
"455,4"
"456,1"
"457,0"
"458,1"
"459,9"
"460,1"
"461,8"
"462,8"
"463,9"
"464,8"
"465,4"
"466,1"
"467,8"
"468,7"
"469,8"
"470,4"
"471,8"
"472,2"
"473,9"
"474,3"
"475,5"
"476,5"
"477,0"
"478,8"
"479,0"
"480,6"
"481,0"
"482,1"
"483,8"
"484,9"
"485,4"
"486,9"
"487,8"
"488,9"
"489,0"
"490,1"
"491,5"
"492,4"
"493,1"
"494,8"
"495,4"
"496,3"
"497,0"
"498,9"
"499,1"
"500,9"
"501,0"
"502,5"
"503,4"
"504,9"
"505,0"
"506,2"
"507,1"
"508,5"
"509,8"
"510,9"
"511,1"
"512,1"
"513,9"
"514,9"
"515,0"
"516,1"
"517,4"
"518,6"
"519,5"
"
"
,,,,,0,1,2,3,4,5,6,7,8,9
,,,,0,44,1,1,0,4,0,1,0,0,4
,,,,1,0,117,0,4,1,1,0,0,2,0
,,,,2,1,0,7,0,0,1,0,0,4,2
,,,,3,0,2,0,10,0,2,0,1,0,0
,,,,4,2,4,0,1,24,3,1,0,1,14
,,,,5,0,0,0,1,6,42,0,0,0,6
,,,,6,1,1,2,0,0,0,7,0,2,2
,,,,7,0,2,0,0,0,0,0,12,1,0
,,,,8,5,0,0,1,0,0,0,0,43,1
,,,,9,2,0,2,0,10,10,1,0,0,100
"
"
Class,Percision,Recall,F1
0,0.8,0.8,0.8
1,0.92,0.94,0.93
2,0.58,0.47,0.52
3,0.59,0.67,0.62
4,0.53,0.48,0.51
5,0.71,0.76,0.74
6,0.7,0.47,0.56
7,0.92,0.8,0.86
8,0.81,0.86,0.83
9,0.78,0.8,0.79
"
"
Accuracy,Micro-Average-F1,Macro-Average-F1
0.7808,0.7808,0.7154
